행정동,Y,반려동물등록수,펫파크수,인구수_원본,유동인구_원본,상권활성도_원본,교통편의도_원본,공시지가_원본,놀이터개수_원본,인구수_Z값,유동인구_Z값,상권활성도_Z값,교통편의도_Z값,공시지가_Z값,놀이터개수_Z값,인구수_기여값,유동인구_기여값,상권활성도_기여값,교통편의도_기여값,공시지가_기여값,놀이터개수_기여값,Z점수,순위
수진2동,815.25,1630.5,1.0,14264.0,62215.0,485.0,15.0,3683128.0,0.0,-0.42522595600478774,-0.3399271639288688,0.1194400095859944,-0.5830216027611904,0.7143165813402212,-0.9879741755243489,-291.3003863449848,78.3346163333555,10.253169744398008,-79.4946123701864,33.80971760395296,186.34762522576395,-62.049869807700844,23
수내3동,1021.9,1021.9,0.0,13161.0,28252.0,9.0,20.0,4051133.0,0.0,-0.5472399490311718,-0.7097014954338579,-0.5596503459196591,-0.32087160151964794,1.0460717837438887,-0.9879741755243489,-374.8858843753068,163.54737207072168,-48.04244418696187,-43.75063198790834,49.51220862812244,186.34762522576395,-67.27175462556895,24
구미1동,654.1,1308.2,1.0,16036.0,120027.0,3.0,45.0,1607927.0,15.0,-0.2292071022942233,0.28950467816300857,-0.5682103083840161,0.9898784046880641,-1.1564697606477756,-0.21852388305990275,-157.01797246490275,-66.71499161319262,-48.77726284996221,134.96926992348193,-54.73751701472754,41.21707598451477,-151.06139803478843,25
복정동,730.0,730.0,0.0,13540.0,159926.0,3.0,70.0,2153470.0,7.0,-0.5053149233221966,0.723907588763296,-0.5682103083840161,2.300628410895776,-0.6646646808665122,-0.628897372374274,-346.16521007477,-166.82109947071916,-48.77726284996221,313.6891718348722,-31.45961573404253,118.62003557984767,-160.91398071477408,26
태평1동,1391.8,1391.8,0.0,13538.0,72237.0,547.0,15.0,2738852.0,0.0,-0.5055361635634049,-0.23081199888623413,0.20789295505101651,-0.5830216027611904,-0.13694488387064638,-0.9879741755243489,-346.3167703613164,53.189539691130605,17.8462959287348,-79.4946123701864,-6.481814887014971,186.34762522576395,-174.90973677288844,27
단대동,1087.0,1087.0,0.0,14100.0,29701.0,3.0,22.0,2888120.0,17.0,-0.4433676557838693,-0.6939254153952651,-0.5682103083840161,-0.216011601023031,-0.0023803112360609563,-0.11593051073130996,-303.728329841787,159.9118486168618,-48.77726284996221,-29.453039834997124,-0.11266384233968456,21.866336085681557,-200.29311166654264,28
정자2동,651.05,1302.1,1.0,13850.0,8312.0,6.0,8.0,4571806.0,18.0,-0.4710226859349083,-0.9267995188772958,-0.5639303271518377,-0.9500316044993498,1.51545664672435,-0.06463382456701355,-322.673365660083,213.57659061452173,-48.40985351846205,-129.53618490537568,71.72892608855747,12.190966136264946,-203.12292124457656,29
태평2동,1394.9,1394.9,0.0,13568.0,27008.0,9.0,19.0,2738852.0,13.0,-0.5022175599452803,-0.7232456248803792,-0.5596503459196591,-0.37330160176795646,-0.13694488387064638,-0.32111725538849556,-344.0433660631209,166.66855300695474,-48.04244418696187,-50.89942806436396,-6.481814887014971,60.567815883348,-222.23068431115894,30
신흥1동,881.9,881.9,0.0,11962.0,33590.0,0.0,6.0,3694427.0,0.0,-0.6798734736355547,-0.65158367952909,-0.5724902896161946,-1.0548916049959667,0.7245025897693432,-0.9879741755243489,-465.74627615985435,150.15439470929718,-49.14467218146238,-143.8337770582869,34.29183726559367,186.34762522576395,-287.9308681989489,31
삼평동,691.0,1382.0,1.0,23518.0,337328.0,18.0,50.0,3789069.0,45.0,0.5984526400660717,2.6553831933226126,-0.5468104022231237,1.2520284059296065,0.8098220171300798,1.3203767018689894,409.96905950505993,-611.9205692855245,-46.94021619246138,170.71325030575997,38.330138798207216,-249.04402249798355,-288.89235936694223,32
태평3동,1182.3,1182.3,0.0,11500.0,30162.0,521.0,3.0,2738852.0,0.0,-0.7309799693546748,-0.6889062484540702,0.17079978437213628,-1.2121816057408923,-0.13694488387064638,-0.9879741755243489,-500.75670235206536,158.75520519917413,14.662081722400016,-165.28016528765374,-6.481814887014971,186.34762522576395,-312.75377037939603,33
수내1동,1384.6,1384.6,0.0,17832.0,184444.0,10.0,22.0,4051133.0,26.0,-0.03053336568915918,0.9908488795750418,-0.558223685508933,-0.216011601023031,1.0460717837438887,0.3457396647473577,-20.916835146264283,-228.33646457888815,-47.91997440979515,-29.453039834997124,49.51220862812244,-65.21199345906794,-342.3260988008902,34
수진1동,1221.5,1221.5,0.0,10686.0,22189.0,13.0,14.0,3683128.0,5.0,-0.8210247475264578,-0.7757127951398541,-0.5539437042767545,-0.6354516030094989,0.7143165813402212,-0.7314907447028668,-562.4417389764373,178.75936565302158,-47.55256507829499,-86.64340844664201,33.80971760395296,137.97077547868088,-346.0978537657188,35
