구,행정동,시설번호,시설유형,실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,데이터기준일자,위도,경도,설치연도,노후도,펫존거리,공공시설여부,면적,클러스터
중원구,중앙동,29950,도시공원,실외,대원공원 축복놀이터,경기도 성남시 중원구 중앙동 2169,316.5,2006-01-01,공공,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-07-26,Y,Y,N,2025-07-05,37.4406474,127.1545391,2006,19,1.7181139092417426,1,316.5,2
중원구,중앙동,29967,도시공원,실외,대원공원 햇빛 물이용놀이터,경기도 성남시 중원구 중앙동 1436,316.5,2006-10-25,공공,그네(1)+흔들놀이기구(2)+조합놀이대(1)+물이용놀이기구(조합놀이대형)(1)+물이용놀이기구(기타)+ 단품)(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-10,Y,Y,Y,2025-07-05,37.44223415,127.1573559,2006,19,1.4262715989914196,1,316.5,2
중원구,은행2동,29969,도시공원,실외,은행2동 은행 어린이공원,경기도 성남시 중원구 은행2동 1417-1,316.5,2007-04-04,공공,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-20,Y,Y,N,2025-07-05,37.45544056,127.1651569,2007,18,1.2539521697165732,1,316.5,2
분당구,운중동,30665,주택단지,실외,산운마을8단지 부영아파트 중앙놀이터,경기도 성남시 분당구 산운로 98,205.0,2008-12-01,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-04-17,Y,Y,N,2025-07-05,37.39202261,127.0719187,2008,17,3.053789368365637,0,205.0,2
분당구,운중동,30666,주택단지,실외,산운마을8단지 부영아파트 804동 옆 놀이터,경기도 성남시 분당구 산운로 98,328.0,2008-12-01,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-04-17,Y,Y,N,2025-07-05,37.39202261,127.0719187,2008,17,3.053789368365637,0,328.0,2
중원구,도촌동,31024,주택단지,실외,도촌휴먼시아 섬마을1단지 116동 놀이터,경기도 성남시 중원구 도촌남로 22,328.0,2010-11-01,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-21,Y,Y,N,2025-07-05,37.4141394,127.148285,2010,15,2.2753922851875865,0,328.0,2
중원구,하대원동,31774,도시공원,실외,하대원동 둔촌 어린이공원,경기도 성남시 중원구 하대원동 249-1,81.0,2007-04-04,공공,그네(2)+미끄럼틀(1)+공중놀이기구(1)+흔들놀이기구(1)+오르는기구(1)+건너는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-12-01,Y,Y,N,2025-07-05,37.42759729,127.151604,2007,18,2.769755264942147,1,81.0,2
분당구,금곡동,32018,주택단지,실외,청솔마을 화인아파트 205동 앞 놀이터,경기도 성남시 분당구 정자일로 46,8.0,2010-12-16,민간,그네(1)+흔들놀이기구(4)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-12-08,Y,Y,N,2025-07-05,37.35454107,127.1063184,2010,15,1.6025634618134015,0,8.0,2
분당구,운중동,32832,주택단지,실외,산운마을10단지 대광로제비앙1차 놀이터,경기도 성남시 분당구 판교원로81번길 15,328.0,2009-06-17,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-11-21,Y,Y,N,2025-07-05,37.39063233,127.0751171,2009,16,2.7500778025494235,0,328.0,2
분당구,분당동,34363,도시공원,실외,태현공원 놀이터,경기도 성남시 분당구 분당동 88,1338.0,2009-09-03,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-08-16,Y,Y,N,2025-07-05,37.36945584,127.1436787,2009,16,1.1263555556569456,1,1338.0,2
