구,행정동,사업장명,인허가일자,소재지지번주소,소재지도로명주소
분당구,정자2동,아리랑약국,2023-09-14,경기도 성남시 분당구 정자동 117번지 1호 스포라이프 스포츠센타 108호 ,"경기도 성남시 분당구 내정로 58, 스포라이프 스포츠센타 108호 (정자동)"
분당구,정자1동,아프지마오약국,2023-11-30,경기도 성남시 분당구 정자동 211번지 이마트 ,"경기도 성남시 분당구 불정로 134, 이마트 1층 (정자동)"
분당구,정자1동,파크약국,2024-04-08,경기도 성남시 분당구 정자동 12번지 1호 백궁지엔느주차전용빌딩 ,"경기도 성남시 분당구 정자일로 227, 백궁지엔느주차전용빌딩 108호 (정자동)"
분당구,정자1동,양지온누리약국,2024-07-09,경기도 성남시 분당구 정자동 12번지 1호 백궁지엔느주차전용빌딩 ,"경기도 성남시 분당구 정자일로 227, 백궁지엔느주차전용빌딩 107호 (정자동)"
분당구,정자1동,더플러스약국,2024-10-08,경기도 성남시 분당구 정자동 4번지 5호 ,"경기도 성남시 분당구 분당수서로 477, 4층 일부호 (정자동)"
분당구,정자동,정자우리들,2024-10-30,경기도 성남시 분당구 정자동 156번지 1호 젤존타워III ,"경기도 성남시 분당구 성남대로331번길 3-3, 젤존타워III 1층 116호 (정자동)"
분당구,정자동,분당스마일약국,2024-10-31,경기도 성남시 분당구 정자동 156번지 2호 백궁프라자3 ,"경기도 성남시 분당구 성남대로331번길 3-9, 백궁프라자3 1층 107호 (정자동)"
분당구,정자동,정자약국,2025-03-24,경기도 성남시 분당구 정자동 15번지 7호 하나플라자빌딩 ,"경기도 성남시 분당구 느티로 27, 하나플라자빌딩 104호 (정자동)"
분당구,정자1동,정자365약국,2025-03-27,경기도 성남시 분당구 정자동 15번지 1호 폴라리스빌딩2 ,"경기도 성남시 분당구 성남대로 389, 폴라리스빌딩2 1층 102호 (정자동)"
중원구,중앙동,종로약국,2004-09-03,경기도 성남시 중원구 중앙동 1370번지 ,경기도 성남시 중원구 시민로 116 (중앙동)
중원구,중앙동,밝은약국,2013-08-26,경기도 성남시 중원구 중앙동 140번지 ,경기도 성남시 중원구 산성대로 348-1 (중앙동)
중원구,중앙동,이화약국,2013-08-29,경기도 성남시 중원구 중앙동 73번지 태성빌딩 ,"경기도 성남시 중원구 산성대로 354, 1층 (중앙동, 태성빌딩)"
중원구,중앙동,퍼스트케어약국,2022-09-29,경기도 성남시 중원구 중앙동 231번지 1층 101호 ,"경기도 성남시 중원구 산성대로 338-2, 1층 101호 (중앙동)"
중원구,중앙동,하늘빛약국,2023-09-08,경기도 성남시 중원구 중앙동 3001번지 신흥역하늘채랜더스원아파트 상가동 106호 ,"경기도 성남시 중원구 광명로 176, 상가동 1층 106호 (중앙동, 신흥역하늘채랜더스원아파트)"
중원구,중앙동,스타약국,2024-07-05,경기도 성남시 중원구 중앙동 83번지 ,"경기도 성남시 중원구 산성대로 352, 1층 (중앙동)"
수정구,위례동,나무약국,2004-03-26,경기도 성남시 수정구 창곡동 513번지 7호 ,"경기도 성남시 수정구 위례동로 135-6, 101호 (창곡동, 이너매스위례)"
수정구,위례동,위례중앙약국,2017-05-11,경기도 성남시 수정구 창곡동 509번지 2호 ,"경기도 성남시 수정구 위례광장로 310, A동 104호 (창곡동, 우성트램타워)"
