구,행정동,시설번호,시설유형,실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,데이터기준일자,위도,경도
분당구,판교동,1401,주택단지,실외,판교원마을13단지 휴먼시아 313동우측 놀이터,경기도 성남시 분당구 서판교로 193,466.0,2009-11-18,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-02-16,Y,Y,N,2025-07-05,37.40161015,127.0920153
분당구,판교동,1402,주택단지,실외,판교원마을13단지 휴먼시아 313동좌측 놀이터,경기도 성남시 분당구 서판교로 193,92.0,2009-11-18,민간,그네(1)+흔들놀이기구(2)+충격흡수용표면재(포설도포바닥재)(1),2023-02-16,Y,Y,N,2025-07-05,37.40161015,127.0920153
분당구,야탑3동,1460,주택단지,실외,탑마을타워빌아파트 303동 놀이터,경기도 성남시 분당구 양현로 272,328.0,2009-12-04,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-11-23,Y,Y,N,2025-07-05,37.40920549,127.1264315
분당구,야탑3동,1461,주택단지,실외,탑마을타워빌아파트 309동 놀이터,경기도 성남시 분당구 양현로 272,328.0,2009-12-04,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+철봉(2)+충격흡수용표면재(모래)(1),2023-11-23,Y,Y,N,2025-07-05,37.40920549,127.1264315
분당구,야탑3동,1462,주택단지,실외,탑마을타워빌아파트 503동 놀이터,경기도 성남시 분당구 양현로 272,328.0,2009-12-04,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-11-23,Y,Y,N,2025-07-05,37.40920549,127.1264315
분당구,야탑3동,1463,주택단지,실외,탑마을타워빌아파트 508동 놀이터,경기도 성남시 분당구 양현로 272,328.0,2009-12-04,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-11-23,Y,Y,N,2025-07-05,37.40920549,127.1264315
분당구,서현1동,1471,도시공원,실외,수련(36호) 어린이공원,경기도 성남시 분당구 서현동 314-1,316.5,2009-12-09,공공,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-12-27,Y,Y,N,2025-07-05,37.37245825,127.1405939
분당구,백현동,1487,주택단지,실외,백현마을2단지 휴먼시아 207동뒤 놀이터,경기도 성남시 분당구 동판교로 122,328.0,2009-12-14,민간,회전놀이기구(2)+흔들놀이기구(2)+기타(4)+충격흡수용표면재(포설도포바닥재)(1),2023-12-05,Y,Y,N,2025-07-05,37.39263021,127.119688
분당구,백현동,1488,주택단지,실외,백현마을2단지 휴먼시아 209동뒤 놀이터,경기도 성남시 분당구 동판교로 122,328.0,2009-12-14,민간,오르는기구(1)+충격흡수용표면재(포설도포바닥재)(1),2023-12-05,Y,Y,N,2025-07-05,37.39263021,127.119688
분당구,백현동,1489,주택단지,실외,백현마을2단지 휴먼시아 유아놀이터,경기도 성남시 분당구 동판교로 122,328.0,2009-12-14,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-12-05,Y,Y,N,2025-07-05,37.39263021,127.119688
분당구,백현동,1490,주택단지,실외,백현마을2단지 휴먼시아  211동앞 놀이터,경기도 성남시 분당구 동판교로 122,328.0,2009-12-14,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-12-05,Y,Y,N,2025-07-05,37.39263021,127.119688
분당구,백현동,1491,주택단지,실외,백현마을2단지 휴먼시아 207동옆 놀이터,경기도 성남시 분당구 동판교로 122,328.0,2009-12-14,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-01-06,Y,Y,N,2025-07-05,37.39263021,127.119688
분당구,삼평동,1510,도시공원,실외,봇들(판교17호) 어린이공원,경기도 성남시 분당구 삼평동 729,250.0,2009-12-04,공공,흔들놀이기구(4)+오르는기구(1)+조합놀이대(3)+충격흡수용표면재(포설도포바닥재)(1),2023-06-14,Y,Y,N,2025-07-05,37.39956725,127.1182697
분당구,삼평동,1511,도시공원,실외,송현(판교10호) 어린이공원,경기도 성남시 분당구 삼평동 707,386.6,2009-12-04,공공,미끄럼틀(3)+충격흡수용표면재(포설도포바닥재)(1),2023-06-05,Y,Y,N,2025-07-05,37.40456372,127.1150395
분당구,삼평동,1512,도시공원,실외,삼평(판교11호) 어린이공원,경기도 성남시 분당구 삼평동 731,379.9,2009-12-04,공공,흔들놀이기구(2)+오르는기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-05,Y,Y,N,2025-07-05,37.39950631,127.1151134
분당구,정자동,1520,도시공원,실외,불정(54호) 어린이공원,경기도 성남시 분당구 정자동 204,452.0,2009-12-24,공공,그네(1)+흔들놀이기구(6)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-05-31,Y,Y,N,2025-07-05,37.36162768,127.1209206
분당구,야탑2동,1658,도시공원,실외,오야소(12호) 어린이공원,경기도 성남시 분당구 야탑동 509,319.0,2010-03-23,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,2025-07-05,37.40793886,127.1269102
분당구,야탑2동,1659,도시공원,실외,매향(5호) 어린이공원,경기도 성남시 분당구 야탑동 214-1,420.0,2010-03-23,공공,그네(1)+흔들놀이기구(7)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,2025-07-05,37.41468939,127.137393
분당구,서현1동,2154,주택단지,실외,효자촌 대명연립아파트 놀이터,경기도 성남시 분당구 분당로263번길 67,328.0,2010-06-21,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-09-06,Y,Y,N,2025-07-05,37.37420254,127.1412773
분당구,야탑2동,2205,도시공원,실외,양촌(8호) 어린이공원,경기도 성남시 분당구 야탑동 178,313.0,2010-06-29,공공,그네(1)+흔들놀이기구(2)+건너는기구(2)+조합놀이대(1)+기타(1)+충격흡수용표면재(모래)(1),2023-06-02,Y,Y,N,2025-07-05,37.40705067,127.1470307
분당구,야탑2동,2207,도시공원,실외,무잡모퉁이(13호) 어린이공원,경기도 성남시 분당구 야탑동 529,331.0,2010-06-29,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,2025-07-05,37.40734038,127.1270151
분당구,야탑2동,2208,도시공원,실외,장승백이(14호) 어린이공원,경기도 성남시 분당구 야탑동 516,336.0,2010-06-29,공공,그네(1)+흔들놀이기구(4)+조합놀이대(2)+충격흡수용표면재(모래)(1),2023-12-27,Y,Y,N,2025-07-05,37.40948054,127.1310143
분당구,야탑2동,2209,도시공원,실외,신일(18호) 어린이공원,경기도 성남시 분당구 야탑동 164,237.0,2010-06-29,공공,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,2025-07-05,37.40716499,127.1441205
분당구,이매1동,2211,도시공원,실외,매송(22호) 어린이공원,경기도 성남시 분당구 이매동 144,542.0,2010-06-29,공공,그네(1)+회전놀이기구(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,2025-07-05,37.39756328,127.1229641
분당구,이매1동,2212,도시공원,실외,방아다리(23호) 어린이공원,경기도 성남시 분당구 이매동 114,429.0,2010-06-29,공공,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-04-28,Y,Y,N,2025-07-05,37.39771572,127.1257997
분당구,이매1동,2213,도시공원,실외,구렛들(25호) 어린이공원,경기도 성남시 분당구 이매동 119,365.0,2010-06-29,공공,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,2025-07-05,37.39228209,127.1250549
분당구,서현1동,2214,도시공원,실외,솔밭(27호) 어린이공원,경기도 성남시 분당구 서현동 78-4,213.0,2010-06-29,공공,조합놀이대(1)+충격흡수용표면재(모래)(1),2023-06-01,Y,Y,N,2025-07-05,37.38448551,127.1305056
분당구,금곡동,2226,도시공원,실외,앞구미(57호) 어린이공원,경기도 성남시 분당구 금곡동 135,179.2,2010-07-01,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+기타(1)+충격흡수용표면재(모래)(1),2022-08-19,Y,Y,N,2025-07-05,37.35365219,127.1134252
중원구,하대원동,2282,도시공원,실외,대원공원 놀이터(1),경기도 성남시 중원구 하대원동 204-2,314.0,2010-07-14,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+기타(1)+충격흡수용표면재(모래)(1),2023-07-26,Y,Y,N,2025-07-05,37.43144489,127.1532151
분당구,구미동,2571,주택단지,실외,하얀마을 주공5단지 관리동옆 유아놀이터,경기도 성남시 분당구 미금일로 21,328.0,2010-09-15,민간,흔들놀이기구(2)+충격흡수용표면재(모래)(1),2023-10-16,Y,Y,N,2025-07-05,37.3460207,127.1178083
분당구,구미동,2572,주택단지,실외,하얀마을 주공5단지 501동옆 놀이터,경기도 성남시 분당구 미금일로 21,328.0,2010-09-15,민간,조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-16,Y,Y,N,2025-07-05,37.3460207,127.1178083
분당구,구미동,2573,주택단지,실외,하얀마을 주공5단지 504동옆 놀이터,경기도 성남시 분당구 미금일로 21,328.0,2010-09-15,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-16,Y,Y,N,2025-07-05,37.3460207,127.1178083
분당구,운중동,2625,주택단지,실외,산운마을 판교윌든힐스3단지 놀이터,경기도 성남시 분당구 산운로 55,328.0,2010-10-05,민간,미끄럼틀(2)+흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2022-08-02,Y,Y,N,2025-07-05,37.39294394,127.0679022
분당구,서현1동,2832,주택단지,실외,서현 포스파크빌라 103동 놀이터,경기도 성남시 분당구 새마을로83번길 15,328.0,2010-11-16,민간,회전놀이기구(1)+흔들놀이기구(3)+충격흡수용표면재(모래)(1),2022-09-14,Y,Y,N,2025-07-05,37.38474156,127.1392136
분당구,서현1동,2833,주택단지,실외,서현 포스파크빌라 102동 놀이터,경기도 성남시 분당구 새마을로83번길 15,328.0,2010-11-16,민간,그네(1)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-09-14,Y,Y,N,2025-07-05,37.38474156,127.1392136
중원구,상대원3동,2834,주택단지,실외,상대원 산성아파트 놀이터,경기도 성남시 중원구 사기막골로150번길 10,243.0,1997-09-20,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-01-02,Y,Y,N,2025-07-05,37.44193539,127.1781089
분당구,구미1동,2849,주택단지,실외,까치마을 우방우성빌라 107동 놀이터,경기도 성남시 분당구 금곡로 201,238.0,1994-11-30,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-10-31,Y,Y,N,2025-07-05,37.35192741,127.1187737
